127.0.0.1 - - [14/Feb/2020:09:47:46 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:47 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:47 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:51 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:51 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:58 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:47:58 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:01 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:01 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:07 -0200] "GET /SmartBank/consultar.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:09 -0200] "POST /SmartBank/consultar.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:21 -0200] "POST /SmartBank/consultar.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:36 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:36 -0200] "GET /SmartBank/homecss.css HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:36 -0200] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/img/logot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/homejs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/img/screen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:48:37 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:32 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:32 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:48 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:48 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:50 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:49:50 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:50:31 -0200] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:50:31 -0200] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:50:31 -0200] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:05 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:06 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
