127.0.0.1 - - [04/Mar/2020:07:38:58 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:38:59 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10641
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:36 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:36 -0300] "GET /SmartBank/debcrejs.js HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:36 -0300] "GET /SmartBank/debcrecss.css HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:39 -0300] "GET /SmartBank/transferencias.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:39 -0300] "GET /SmartBank/transferenciacss.css HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:42 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:42 -0300] "GET /SmartBank/extratojs.js HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:45 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:56 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:39:56 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:03 -0300] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 562427
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:03 -0300] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js.map HTTP/1.1" 200 176087
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:03 -0300] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js.map HTTP/1.1" 200 123313
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:33 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:33 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:34 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:34 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:34 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:40:34 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
